pl_name,hostname,ra,dec,sy_dist,sy_vmag,disc_year,discoverymethod
"K2-130 b","K2-130",290.2705419,-19.6908744,118.01100000,12.6760000,2017,"Transit"
"K2-275 b","K2-275",132.1698795,20.4550162,123.43800000,11.9740000,2018,"Transit"
"K2-148 b","K2-148",14.5176494,-0.1932580,124.45800000,13.6270000,2018,"Transit"
"TOI-1444 b","TOI-1444",305.4749252,70.9437054,125.46300000,10.9360000,2021,"Transit"
"V830 Tau b","V830 Tau",68.2918259,24.5619241,130.11100000,12.2300000,2016,"Radial Velocity"
"TOI-707 b","TOI-707",98.7295889,-67.5372743,130.95900000,10.7100000,2026,"Transit"
"HD 95089 b","HD 95089",164.6987480,1.7290087,136.95700000,7.9200000,2009,"Radial Velocity"
"HD 180053 b","HD 180053",288.4008374,34.9146658,137.04300000,7.9300000,2018,"Radial Velocity"
"XO-2 S d","XO-2 S",117.0309753,50.2169068,151.39800000,11.1960000,2024,"Radial Velocity"
"HIP 8541 b","HIP 8541",27.5271962,-54.4651633,155.12100000,7.8800000,2016,"Radial Velocity"
"K2-338 b","K2-338",124.3609294,17.0241557,156.95100000,13.3220000,2021,"Transit"
"TOI-1768.01","TOI-1768",152.1027826,55.5399599,157.59700000,10.4190000,2024,"Transit"
"KOINTREAU-1 b","XEST 17-036",68.3592880,22.7580560,158.61800000,,2026,"Imaging"
"CoRoT-7 d","CoRoT-7",100.9561682,-1.0630076,159.90600000,11.7280000,2022,"Radial Velocity"
"TIC 38825265 b","TIC 38825265",68.2492759,-65.2039666,165.63800000,14.1340000,2026,"Transit"
"K2-343 c","K2-343",134.2021746,21.5026882,166.16900000,16.0100000,2021,"Transit"
"Kepler-296 b","Kepler-296",286.5400278,49.4372614,167.00000000,16.3630000,2014,"Transit"
"WASP-105 b","WASP-105",24.1678686,-50.6593080,169.27200000,12.0490000,2017,"Transit"
"Kepler-617 b","Kepler-617",283.7407247,47.5161237,173.35400000,15.5490000,2016,"Transit"
"TOI-205 b","TOI-205",7.9754636,-56.9650808,177.75900000,9.9210000,2026,"Transit"
"Qatar-2 b","Qatar-2",207.6554928,-6.8040714,181.37400000,13.4430000,2011,"Transit"
"ZTF J1230-2655 b","ZTF J1230-2655",187.5689308,-26.9309608,186.69000000,18.9116000,2025,"Transit"
"K2-104 b","K2-104",129.6366594,19.7737202,189.28900000,15.9890000,2016,"Transit"
"Kepler-249 d","Kepler-249",296.9853002,43.6586043,190.40100000,16.3700000,2014,"Transit"
"K2-201 c","K2-201",293.5607117,-23.1312775,197.93200000,12.1680000,2018,"Transit"
"HAT-P-27 b","HAT-P-27",222.7673221,5.9473626,199.17300000,12.0520000,2011,"Transit"
"K2-401 b","K2-401",154.9876040,3.9548275,200.72700000,14.0140000,2022,"Transit"
"Kepler-19 b","Kepler-19",290.4209694,37.8516556,218.56200000,12.0350000,2011,"Transit"
"HD 5583 b","HD 5583",14.4869460,34.9853306,219.21600000,7.6040000,2016,"Radial Velocity"
"HD 174205 b","HD 174205",280.7932014,70.7928237,234.02700000,6.2820900,2022,"Radial Velocity"
"TOI-858 B b","TOI-858 B",60.1998256,-54.5929177,250.48900000,11.1830000,2023,"Transit"
"K2-86 b","K2-86",51.5531053,18.6355718,258.69900000,13.0410000,2016,"Transit"
"K2-414 c","K2-414",351.6361913,-4.6066569,260.03600000,14.2890000,2022,"Transit"
"TOI-6019 b","TOI-6019",355.0913498,35.9408402,260.34200000,10.7910000,2026,"Transit"
"Kepler-267 c","Kepler-267",299.8305655,47.1575741,264.99300000,16.6900000,2014,"Transit"
"K2-326 b","K2-326",351.6122620,1.3375909,282.30800000,15.9820000,2020,"Transit"
"TOI-6695 b","TOI-6695",129.5720221,-23.5502170,282.53600000,10.7680000,2025,"Transit"
"Kepler-236 b","Kepler-236",283.8664285,39.8981928,288.76300000,16.0140000,2014,"Transit"
"K2-19 d","K2-19",174.9602543,0.6035960,289.82700000,13.0240000,2016,"Transit"
"Kepler-1124 b","Kepler-1124",286.5942529,37.8912836,289.89900000,16.7450000,2016,"Transit"
"Kepler-1782 b","Kepler-1782",280.9261620,44.0878036,305.79200000,13.8750000,2021,"Transit"
"K2-39 b","K2-39",338.3682095,-9.0229405,307.47000000,10.8310000,2016,"Transit"
"K2-195 c","K2-195",199.8315191,-8.5095364,315.01400000,12.5240000,2018,"Transit"
"EPIC 212587672 b","EPIC 212587672",205.4445125,-10.8625468,320.07000000,12.4880000,2019,"Transit"
