source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,phot_g_mean_mag,bp_rp
1576683529448755328,193.50817846782095,55.959784778923755,,,,,1.731607,0.33836722
6560604777055249536,332.05907779469464,-46.96161734131188,,,,,1.7732803,0.25205588
1510374147844219904,206.8843267438112,49.313201807217496,,,,,1.881019,0.16552424
3377166289889430656,95.74037353106223,22.51309871600816,,,,,1.8813683,1.8783841
418551920284673408,10.12724197930297,56.53718879378639,14.090976249252234,49.12564571845064,-31.595374311196693,,1.9425238,1.1434835
4677205714465503104,69.1893185844083,-62.07749050901024,,,,,1.9587749,3.7703938
6026152137856166912,252.53759018899078,-34.294371751412214,,,,,1.9910356,1.187696
4357027756659697664,243.58621066034064,-3.694967708333353,20.411292350652413,-45.34001940987892,-144.43272215287442,,2.0164251,1.5633104
426558460884582016,14.177450998208093,60.71672280471204,,,,,2.0645833,0.41073465
3011968416163350272,86.93912852502406,-9.669607137549677,,,,,2.0778263,0.19949937
5589311357728452608,109.28559423278779,-37.097444485279574,5.762063161817684,-11.561999924300897,6.520111466968526,,2.0832374,1.5425804
4993479684438433792,6.57215550145885,-42.30782032569077,39.91825815729799,176.2682926212513,-398.87213472266046,,2.0899775,1.2694821
4493746564376875520,263.7341968642716,12.559009843277153,,,,,2.1082857,0.6185856
142853330981747328,46.29487462677558,38.83980896875264,,,,,2.111629,2.1664658
2067518817314952576,305.55710787667306,40.2566736114266,,,,,2.1137252,0.9935477
4038055447778237312,274.4060904518451,-36.76242931758906,23.885852068095137,-131.80407046542277,-166.30893037257962,,2.1164951,1.8272674
1279798794197267072,221.24648617076684,27.074315757773466,13.82667260913517,-50.81825554241812,21.02352084436887,,2.1833525,1.1840065
160886283751041408,74.24843702624405,33.16601472318802,7.249065034494049,3.8169754472223425,-17.786274545345467,,2.1975422,1.4451852
1869302503206674304,311.5547590119282,33.9717003123585,,,,,2.2109652,1.1279578
5300300156538723328,139.2723686431627,-59.27517582046192,,,,,2.213786,0.55295897
4302054339959905920,296.56498571046956,10.613252703828636,5.589928355256642,16.232737511703284,-1.354232773419788,,2.223692,1.4782449
6127791439360208640,190.3779930225551,-48.95978360109781,,,,,2.2270558,0.5140896
423018377034969216,2.2990654282325518,59.14897576410493,,,,,2.232691,0.7120874
3220756843825383936,83.00165624929525,-0.2990788925812489,,,,,2.2487726,0.17005849
5534788672055388032,120.89585713760054,-40.00307350941095,,,,,2.2542944,0.22848153
3377072212924335488,93.71906923878569,22.50675368193066,,,,,2.2620378,1.8538378
