OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025BY,2026-08-13T04:07:45.925248,14.12621185,.0052958,99.0839,287.1524,237.0847,185.1232,0,U,29782,999,106,.55064E-3,.987E-5,0
FENGYUN 1C DEB,1999-025CA,2026-08-13T00:57:49.252896,14.31149875,.0058732,98.9497,155.9828,309.2228,111.0988,0,U,29784,999,1836,.17437E-3,.421E-5,0
FENGYUN 1C DEB,1999-025CC,2026-08-13T00:58:49.857312,14.09223664,.0077211,98.7244,239.7453,335.3154,85.0134,0,U,29786,999,586,.9598E-4,.128E-5,0
FENGYUN 1C DEB,1999-025CE,2026-08-13T04:28:22.526976,14.27561648,.0041604,98.7704,302.4939,198.6785,189.8766,0,U,29788,999,828,.61295E-3,.1477E-4,0
FENGYUN 1C DEB,1999-025CF,2026-08-12T11:22:04.099584,13.54874180,.02967727,99.4643,42.2340,25.8205,28.3017,0,U,29789,999,96274,.57698543E-3,.484E-5,0
FENGYUN 1C DEB,1999-025CG,2026-08-13T00:11:24.116064,14.32662904,.0075914,99.1520,237.4724,190.4026,169.5589,0,U,29790,999,2009,.10982E-3,.259E-5,0
FENGYUN 1C DEB,1999-025CH,2026-08-13T00:57:34.057728,14.61316190,.0039206,99.0306,252.2497,43.4706,10.7578,0,U,29791,999,2396,.44959E-3,.2188E-4,0
FENGYUN 1C DEB,1999-025CJ,2026-08-13T01:45:58.137984,14.16110821,.0049746,98.7379,276.1121,61.0670,299.5480,0,U,29792,999,383,.39104E-3,.739E-5,0
FENGYUN 1C DEB,1999-025CK,2026-08-12T09:37:43.566816,14.01892691,.0140389,98.3719,28.1205,13.9698,15.5673,0,U,29793,999,99548,.44313716E-3,.696E-5,0
FENGYUN 1C DEB,1999-025CL,2026-08-12T08:25:43.255776,14.09594830,.01566893,98.2285,6.8511,63.9154,327.0027,0,U,29794,999,254,.1789995E-3,.314E-5,0
FENGYUN 1C DEB,1999-025CM,2026-08-12T21:33:15.490080,13.93011835,.0111095,98.9017,349.5902,330.2966,152.2369,0,U,29795,999,99450,.19574E-4,-.16E-6,0
FENGYUN 1C DEB,1999-025CN,2026-08-13T02:46:58.046304,14.12901487,.0050613,98.8408,279.0959,299.0397,115.0607,0,U,29796,999,495,.29052E-3,.503E-5,0
FENGYUN 1C DEB,1999-025CQ,2026-08-13T03:31:49.903104,14.00490147,.0103855,99.2942,297.8468,327.6015,61.3104,0,U,29798,999,99331,.45114E-3,.655E-5,0
FENGYUN 1C DEB,1999-025CS,2026-08-12T23:27:36.336096,13.99824818,.0128961,98.2817,228.5314,262.7127,152.6384,0,U,29800,999,98978,.6606E-3,.1002E-4,0
FENGYUN 1C DEB,1999-025CT,2026-08-13T04:47:58.092288,14.36123217,.010233,98.7790,135.9994,268.9795,249.7731,0,U,29801,999,2434,.54834E-4,.12E-5,0
FENGYUN 1C DEB,1999-025CU,2026-08-12T08:05:42.099648,14.69164954,.00312657,98.6309,350.5978,303.2362,111.5553,0,U,29802,999,2026,.70292292E-3,.4112E-4,0
