OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036BV,2026-08-03T14:37:18.674688,14.44964624,.00289271,74.0461,162.9337,182.8739,351.4926,0,U,33828,999,91690,.274226E-3,.934E-5,0
COSMOS 2251 DEB,1993-036BX,2026-08-03T20:03:56.176704,14.79451526,.00422611,74.0311,130.3068,193.7462,229.0303,0,U,33830,999,92931,.48657476E-3,.3655E-4,0
COSMOS 2251 DEB,1993-036BZ,2026-08-03T19:19:54.012000,14.63437630,.00219191,74.0541,122.2191,99.2298,317.5724,0,U,33832,999,91846,.76614381E-3,.3951E-4,0
COSMOS 2251 DEB,1993-036CC,2026-08-03T19:25:42.538368,14.64179826,.0054908,74.0571,12.5984,5.0389,115.0404,0,U,33835,999,92213,.3958554E-3,.2098E-4,0
COSMOS 2251 DEB,1993-036CD,2026-08-03T14:18:18.675072,14.83630552,.00243215,73.9962,155.8515,300.5194,234.5605,0,U,33836,999,67552,.10050665E-2,.8311E-4,0
COSMOS 2251 DEB,1993-036CE,2026-08-03T17:13:32.116512,14.51139323,.00333213,74.0139,334.9117,140.1060,220.2559,0,U,33837,999,92189,.19866234E-3,.765E-5,0
COSMOS 2251 DEB,1993-036CF,2026-08-03T21:32:38.858208,14.48971877,.00262999,74.0357,71.0440,135.3330,237.9526,0,U,33838,999,91960,.22423838E-3,.826E-5,0
COSMOS 2251 DEB,1993-036CG,2026-08-03T19:34:49.592928,14.64994778,.00837047,74.0392,116.4513,170.0967,252.4418,0,U,33839,999,93007,.1306154E-3,.703E-5,0
COSMOS 2251 DEB,1993-036CJ,2026-08-03T10:28:28.511040,14.38136886,.002194,74.0354,207.6555,237.4773,274.8040,0,U,33841,999,91473,.12265975E-3,.347E-5,0
COSMOS 2251 DEB,1993-036CK,2026-08-03T21:02:10.407840,14.43135990,.00472913,74.0338,144.8722,197.3881,162.5659,0,U,33842,999,91714,.17025862E-3,.552E-5,0
COSMOS 2251 DEB,1993-036CM,2026-08-03T20:09:31.031136,14.34222179,.00488786,74.0679,345.1815,309.9002,175.1049,0,U,33844,999,91081,.22037181E-3,.6E-5,0
COSMOS 2251 DEB,1993-036CR,2026-08-03T15:05:53.835648,14.45532130,.00444115,74.0295,281.8556,285.7629,195.5588,0,U,33848,999,91209,.45826689E-3,.1609E-4,0
COSMOS 2251 DEB,1993-036CV,2026-08-03T23:15:14.575680,14.24016781,.0113869,73.8015,34.4709,24.0384,137.4840,0,U,33892,999,90288,.32014601E-3,.759E-5,0
COSMOS 2251 DEB,1993-036CX,2026-08-03T08:27:45.845280,13.21856798,.0568274,73.7688,347.5393,233.6997,121.0337,0,U,33894,999,83794,.21809036E-2,.21E-4,0
